website,Treatments,EC,PLT
www.tripadvisor.com,withoutads,57.84,2337
www.fanfiction.net,withoutads,51.52,1106
www.ebay.com,withoutads,53.11,1928
www.omio.com,withoutads,57.86,781
bitly.com,withoutads,51.37,2787
www.ticketmaster.nl,withoutads,56.26,9778
www.traveloka.com,withoutads,52.01,2455
www.lazada.co.th,withoutads,64.65,35866
coachella.com,withoutads,52.64,4653
www.readawrite.com,withoutads,52.04,4667
www.tripadvisor.com,withoutads,53.73,2290
www.fanfiction.net,withoutads,50.57,634
www.ebay.com,withoutads,51.06,2577
www.omio.com,withoutads,51.69,798
bitly.com,withoutads,51.06,2745
www.ticketmaster.nl,withoutads,53.58,9781
www.traveloka.com,withoutads,51.37,2018
www.lazada.co.th,withoutads,66.71,34084
coachella.com,withoutads,52.48,5018
www.readawrite.com,withoutads,54.4,5417
www.tripadvisor.com,withoutads,54.52,17028
www.fanfiction.net,withoutads,51.68,633
www.ebay.com,withoutads,51.22,3047
www.omio.com,withoutads,50.58,822
bitly.com,withoutads,51.22,2545
www.ticketmaster.nl,withoutads,52.94,11312
www.traveloka.com,withoutads,50.9,2085
www.lazada.co.th,withoutads,63.7,34085
coachella.com,withoutads,52.96,5079
www.readawrite.com,withoutads,52.51,4339
www.tripadvisor.com,withoutads,53.26,2293
www.fanfiction.net,withoutads,50.89,764
www.ebay.com,withoutads,57.86,2468
www.omio.com,withoutads,51.06,739
bitly.com,withoutads,51.85,2592
www.ticketmaster.nl,withoutads,54.01,11218
www.traveloka.com,withoutads,51.85,2115
www.lazada.co.th,withoutads,57.38,34311
coachella.com,withoutads,52.8,5708
www.readawrite.com,withoutads,52.82,4165
www.tripadvisor.com,withoutads,57.68,2931
www.fanfiction.net,withoutads,50.41,645
www.ebay.com,withoutads,51.06,2339
www.omio.com,withoutads,51.06,1642
bitly.com,withoutads,51.22,2579
www.ticketmaster.nl,withoutads,54.68,11267
www.traveloka.com,withoutads,50.9,2021
www.lazada.co.th,withoutads,62.12,34444
coachella.com,withoutads,54.06,2630
www.readawrite.com,withoutads,53.92,x
www.tripadvisor.com,withoutads,52.94,2413
www.fanfiction.net,withoutads,52.47,648
www.ebay.com,withoutads,51.53,2426
www.omio.com,withoutads,50.74,1003
bitly.com,withoutads,52.48,2458
www.ticketmaster.nl,withoutads,53.58,8082
www.traveloka.com,withoutads,53.9,21638
www.lazada.co.th,withoutads,62.76,34186
coachella.com,withoutads,55.01,4867
www.readawrite.com,withoutads,54.24,5211
www.tripadvisor.com,withoutads,53.26,2401
www.fanfiction.net,withoutads,50.41,610
www.ebay.com,withoutads,52.17,2235
www.omio.com,withoutads,50,750
bitly.com,withoutads,51.53,2432
www.ticketmaster.nl,withoutads,54.05,11187
www.traveloka.com,withoutads,51.06,1319
www.lazada.co.th,withoutads,64.65,34647
coachella.com,withoutads,52.8,4604
www.readawrite.com,withoutads,53.92,4437
www.tripadvisor.com,withoutads,53.1,2328
www.fanfiction.net,withoutads,50.41,931
www.ebay.com,withoutads,51.22,2394
www.omio.com,withoutads,51.06,807
bitly.com,withoutads,51.22,2514
www.ticketmaster.nl,withoutads,54.05,11268
www.traveloka.com,withoutads,50.9,2080
www.lazada.co.th,withoutads,62.28,34085
coachella.com,withoutads,53.11,5117
www.readawrite.com,withoutads,52.04,4200
www.tripadvisor.com,withoutads,52.79,2351
www.fanfiction.net,withoutads,70.96,661
www.ebay.com,withoutads,50.9,2674
www.omio.com,withoutads,50.9,767
bitly.com,withoutads,51.53,2409
www.ticketmaster.nl,withoutads,55.47,8986
www.traveloka.com,withoutads,52.32,1805
www.lazada.co.th,withoutads,64.19,33966
coachella.com,withoutads,52.48,5383
www.readawrite.com,withoutads,51.88,4078
www.tripadvisor.com,withoutads,57.05,2464
www.fanfiction.net,withoutads,66.06,681
www.ebay.com,withoutads,52.32,4268
www.omio.com,withoutads,51.06,674
bitly.com,withoutads,51.22,2761
www.ticketmaster.nl,withoutads,55.95,10108
www.traveloka.com,withoutads,52.32,2220
www.lazada.co.th,withoutads,63.7,33934
coachella.com,withoutads,52.48,5047
www.readawrite.com,withoutads,52.19,4605
www.tripadvisor.com,withads,54.54,9848
www.fanfiction.net,withads,67.64,1163
www.ebay.com,withads,52.47,4422
www.omio.com,withads,52.15,6115
bitly.com,withads,51.84,3906
www.ticketmaster.nl,withads,55.47,2648
www.traveloka.com,withads,50.74,2626
www.lazada.co.th,withads,51.37,2659
coachella.com,withads,55.81,2648
www.readawrite.com,withads,61.94,34220
www.tripadvisor.com,withads,53.59,10052
www.fanfiction.net,withads,74.59,732
www.ebay.com,withads,52,4112
www.omio.com,withads,51.36,12849
bitly.com,withads,50.73,2208
www.ticketmaster.nl,withads,53.26,2291
www.traveloka.com,withads,50.74,1237
www.lazada.co.th,withads,51.06,2702
coachella.com,withads,52.51,2536
www.readawrite.com,withads,62.41,34085
www.tripadvisor.com,withads,53.43,11368
www.fanfiction.net,withads,51.68,1277
www.ebay.com,withads,55.16,4457
www.omio.com,withads,52.15,3519
bitly.com,withads,50.73,1367
www.ticketmaster.nl,withads,53.58,2281
www.traveloka.com,withads,50.74,1211
www.lazada.co.th,withads,51.06,2762
coachella.com,withads,51.09,2476
www.readawrite.com,withads,56.44,34091
www.tripadvisor.com,withads,53.11,10364
www.fanfiction.net,withads,50.73,807
www.ebay.com,withads,52.15,4029
www.omio.com,withads,51.84,3269
bitly.com,withads,51.36,2128
www.ticketmaster.nl,withads,51.84,2273
www.traveloka.com,withads,50.9,1227
www.lazada.co.th,withads,52.64,2814
coachella.com,withads,51.09,2339
www.readawrite.com,withads,60.84,x
www.tripadvisor.com,withads,53.43,11496
www.fanfiction.net,withads,50.73,799
www.ebay.com,withads,52.15,4436
www.omio.com,withads,52,6641
bitly.com,withads,50.73,1582
www.ticketmaster.nl,withads,56.42,2283
www.traveloka.com,withads,52.17,1182
www.lazada.co.th,withads,52.64,12272
coachella.com,withads,50.47,2313
www.readawrite.com,withads,81.76,34003
www.tripadvisor.com,withads,53.27,9744
www.fanfiction.net,withads,50.41,830
www.ebay.com,withads,52.63,4001
www.omio.com,withads,52.47,5330
bitly.com,withads,51.68,1407
www.ticketmaster.nl,withads,53.73,2326
www.traveloka.com,withads,50.9,1250
www.lazada.co.th,withads,51.37,2720
coachella.com,withads,50.15,2399
www.readawrite.com,withads,62.57,34615
www.tripadvisor.com,withads,53.43,9808
www.fanfiction.net,withads,50.57,1625
www.ebay.com,withads,54.68,6390
www.omio.com,withads,51.68,3392
bitly.com,withads,51.04,2281
www.ticketmaster.nl,withads,52.63,2429
www.traveloka.com,withads,50.43,1171
www.lazada.co.th,withads,52.64,2644
coachella.com,withads,51.72,2808
www.readawrite.com,withads,62.41,35186
www.tripadvisor.com,withads,53.43,9677
www.fanfiction.net,withads,52,787
www.ebay.com,withads,52.15,4111
www.omio.com,withads,52.31,5752
bitly.com,withads,50.41,1904
www.ticketmaster.nl,withads,57.53,2393
www.traveloka.com,withads,52.8,1135
www.lazada.co.th,withads,52.8,3226
coachella.com,withads,52.35,3329
www.readawrite.com,withads,58.8,34350
www.tripadvisor.com,withads,53.59,11297
www.fanfiction.net,withads,51.2,785
www.ebay.com,withads,54.21,4199
www.omio.com,withads,52.15,3772
bitly.com,withads,50.57,1328
www.ticketmaster.nl,withads,56.42,2320
www.traveloka.com,withads,52.17,3180
www.lazada.co.th,withads,53,3170
coachella.com,withads,50.62,2279
www.readawrite.com,withads,64.61,34539
www.tripadvisor.com,withads,53.75,11234
www.fanfiction.net,withads,51.04,782
www.ebay.com,withads,51.84,4057
www.omio.com,withads,53.73,5690
bitly.com,withads,52.47,1399
www.ticketmaster.nl,withads,53.1,2421
www.traveloka.com,withads,51.69,3181
www.lazada.co.th,withads,51.22,2730
coachella.com,withads,51.25,2678
www.readawrite.com,withads,65.09,x
