website,factor,PLT1,EC1,PLT2,EC2,PLT3,EC3,PLT4,EC4,PLT5,EC5,PLT6,EC6,PLT7,EC7,PLT8,EC8,PLT9,EC9,PLT10,EC10
www.tripadvisor.com,without_ads,2337,57.84,2290,53.73,17028,54.52,2293,53.26,2931,57.68,2413,52.94,2401,53.26,2328,53.1,2351,52.79,2464,57.05
www.fanfiction.net,without_ads,1106,51.52,634,50.57,633,51.68,764,50.89,645,50.41,648,52.47,610,50.41,931,50.41,661,70.96,681,66.06
www.omio.com,with_ads,1163,67.64,732,74.59,1277,51.68,807,50.73,799,50.73,830,50.41,1625,50.57,787,52,785,51.2,782,51.04
www.readawrite.com,with_ads,4422,52.47,4112,52,4457,55.16,4029,52.15,4436,52.15,4001,52.63,6390,54.68,4111,52.15,4199,54.21,4057,51.84
coachella.com,with_ads,6115,52.15,12849,51.36,3519,52.15,3269,51.84,6641,52,5330,52.47,3392,51.68,5752,52.31,3772,52.15,5690,53.73
www.ticketmaster.nl,without_ads,9778,56.26,9781,53.58,11312,52.94,11218,54.01,11267,54.68,8082,53.58,11187,54.05,11268,54.05,8986,55.47,10108,55.95
www.traveloka.com,with_ads,3906,51.84,2208,50.73,1367,50.73,2128,51.36,1582,50.73,1407,51.68,2281,51.04,1904,50.41,1328,50.57,1399,52.47
www.tripadvisor.com,with_ads,2648,55.47,2291,53.26,2281,53.58,2273,51.84,2283,56.42,2326,53.73,2429,52.63,2393,57.53,2320,56.42,2421,53.1
www.traveloka.com,without_ads,2455,52.01,2018,51.37,2085,50.9,2115,51.85,2021,50.9,21638,53.9,1319,51.06,2080,50.9,1805,52.32,2220,52.32
www.fanfiction.net,with_ads,2626,50.74,1237,50.74,1211,50.74,1227,50.9,1182,52.17,1250,50.9,1171,50.43,1135,52.8,3180,52.17,3181,51.69
www.lazada.co.th,without_ads,35866,64.65,34084,66.71,34085,63.7,34311,57.38,34444,62.12,34186,62.76,34647,64.65,34085,62.28,33966,64.19,33934,63.7
coachella.com,without_ads,4653,52.64,5018,52.48,5079,52.96,5708,52.8,2630,54.06,4867,55.01,4604,52.8,5117,53.11,5383,52.48,5047,52.48
bitly.com,with_ads,2659,51.37,2702,51.06,2762,51.06,2814,52.64,12272,52.64,2720,51.37,2644,52.64,3226,52.8,3170,53,2730,51.22
www.ebay.com,with_ads,2648,55.81,2536,52.51,2476,51.09,2339,51.09,2313,50.47,2399,50.15,2808,51.72,3329,52.35,2279,50.62,2678,51.25
www.readawrite.com,without_ads,4667,52.04,5417,54.4,4339,52.51,4165,52.82,x,53.92,5211,54.24,4437,53.92,4200,52.04,4078,51.88,4605,52.19
www.lazada.co.th,with_ads,34220,61.94,34085,62.41,34091,56.44,x,60.84,34003,81.76,34615,62.57,35186,62.41,34350,58.8,34539,64.61,x,65.09
www.ebay.com,without_ads,1928,53.11,2577,51.06,3047,51.22,2468,57.86,2339,51.06,2426,51.53,2235,52.17,2394,51.22,2674,50.9,4268,52.32
www.omio.com,without_ads,781,57.86,798,51.69,822,50.58,739,51.06,1642,51.06,1003,50.74,750,50,807,51.06,767,50.9,674,51.06
bitly.com,without_ads,2787,51.37,2745,51.06,2545,51.22,2592,51.85,2579,51.22,2458,52.48,2432,51.53,2514,51.22,2409,51.53,2761,51.22
www.ticketmaster.nl,with_ads,9848,54.54,10052,53.59,11368,53.43,10364,53.11,11496,53.43,9744,53.27,9808,53.43,9677,53.43,11297,53.59,11234,53.75
